Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:48020000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
48020000;1;01/05/2020;;1;1;1674,74;1654,235;1658,865;1;8;1;1;1;;0;1674,74;1674,74;1674,74;1674,74;1674,74;1674,74;1674,74;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1654,235;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/04/2020;;1;1;1994,651;983,25;1633,467;16;1;1;1;1;;0;983,25;983,25;983,25;983,25;983,25;983,25;983,25;1074,517;1349,612;1821,167;1821,167;1757,794;1757,794;1757,794;1928,833;1994,651;1994,651;1994,651;1994,651;1994,651;1972,611;1950,671;1950,671;1950,671;1950,671;1950,671;1950,671;1853,199;1674,74;1674,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
48020000;1;01/03/2020;;1;1;983,25;963,001;977,045;11;1;1;1;1;;0;963,001;963,001;963,001;963,001;963,001;963,001;963,001;963,001;963,001;973,124;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;983,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/02/2020;;1;1;1390,516;942,765;1043,369;1;13;1;1;1;0;0;1390,516;1390,516;1390,516;1318,958;1267,915;1267,915;1267,915;983,25;983,25;963,001;963,001;963,001;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;942,765;963,001;963,001;963,001;963,001;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
48020000;1;01/01/2020;;1;1;1431,454;1084,672;1227,026;22;1;1;1;1;0;0;1084,672;1084,672;1084,672;1084,672;1084,672;1084,672;1104,99;1084,672;1084,672;1084,672;1084,672;1084,672;1084,672;1084,672;1084,672;1227,124;1339,392;1349,612;1349,612;1349,612;1349,612;1431,454;1390,516;1370,059;1370,059;1370,059;1370,059;1370,059;1370,059;1370,059;1370,059;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/12/2019;;1;1;1160,796;837,015;888,577;1;17;1;1;1;;0;1160,796;1160,796;1160,796;1139,374;914,101;875,229;875,229;856,039;856,039;856,039;856,039;856,039;856,039;856,039;856,039;856,039;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;837,015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/11/2019;;1;1;1182,373;894,583;1100,056;11;2;1;1;1;;0;914,101;894,583;894,583;914,101;914,101;914,101;914,101;1039,744;1160,796;1160,796;1182,373;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1160,796;1182,373;1182,373;1160,796;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/10/2019;;1;1;1118,106;894,583;961,443;5;13;1;1;1;;0;1096,994;1076,039;1096,994;1107,531;1118,106;1118,106;1118,106;1034,599;973,627;993,792;993,792;904,322;894,583;894,583;894,583;894,583;894,583;894,583;894,583;894,583;894,583;894,583;914,101;914,101;914,101;914,101;914,101;914,101;914,101;914,101;914,101;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
48020000;1;01/09/2019;;1;1;1384,254;894,744;1099,566;25;1;1;1;1;;0;894,744;941,104;959,885;978,8;978,8;978,8;978,8;978,8;997,848;1017,029;1017,029;1017,029;1017,029;1017,029;1017,029;1017,029;1036,343;1095,068;1124,869;1134,867;1134,867;1215,996;1299,137;1373,508;1384,254;1384,254;1384,254;1225,987;1225,987;1160,796;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
48020000;1;01/08/2019;;1;1;885,574;867,337;883,809;4;1;1;1;1;;0;867,337;867,337;867,337;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;885,574;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
