,Data,Values
118,2011-11-01,34182.189941010096
119,2011-12-01,34623.55217896326
120,2012-01-01,34857.50757948145
121,2012-02-01,34887.88559189181
122,2012-03-01,37099.7357022892
123,2012-04-01,37477.396385952066
124,2012-05-01,35359.70456386235
125,2012-06-01,34011.404582383904
126,2012-07-01,32814.28176075178
127,2012-08-01,33374.337745311066
128,2012-09-01,35562.05436031253
129,2012-10-01,35722.32075441859
130,2012-11-01,36397.407859576415
131,2012-12-01,34741.962534519975
132,2013-01-01,36246.2174013751
133,2013-02-01,34924.851784650826
134,2013-03-01,35776.569274191796
135,2013-04-01,36583.48582270662
136,2013-05-01,33800.26883213212
137,2013-06-01,33784.038876197956
138,2013-07-01,33521.70904540495
139,2013-08-01,33820.062528313385
140,2013-09-01,34469.30646737726
141,2013-10-01,35179.0236052042
142,2013-11-01,35292.917680239254
143,2013-12-01,35235.008341542096
144,2014-01-01,34059.27775064835
145,2014-02-01,38070.02125207077
146,2014-03-01,39063.14657446881
147,2014-04-01,35774.62251021849
148,2014-05-01,35032.16172267397
149,2014-06-01,35183.1789232473
150,2014-07-01,34499.550598735674
151,2014-08-01,34492.441725976176
152,2014-09-01,35198.67021441447
153,2014-10-01,36232.189552575765
154,2014-11-01,36990.497259128395
155,2014-12-01,35877.87266169359
156,2015-01-01,35904.253416732965
157,2015-02-01,40499.59773807972
158,2015-03-01,38995.85682723084
159,2015-04-01,37433.43661618684
160,2015-05-01,37724.32419766755
161,2015-06-01,35634.37226571612
162,2015-07-01,36150.00925522128
163,2015-08-01,36266.65121903129
164,2015-09-01,36980.21578239327
165,2015-10-01,38064.3645003413
166,2015-11-01,38790.6151070783
167,2015-12-01,37980.90225410809
168,2016-01-01,37614.991470682464
169,2016-02-01,37326.76224142413
170,2016-03-01,39734.46644800875
171,2016-04-01,39389.83412773619
172,2016-05-01,39285.75060574293
173,2016-06-01,36698.20276807156
174,2016-07-01,35525.06485880712
175,2016-08-01,37255.27262782738
176,2016-09-01,37241.93813262323
177,2016-10-01,37953.77007798479
178,2016-11-01,37733.372355003965
179,2016-12-01,37557.705395573976
180,2017-01-01,37593.16182965463
181,2017-02-01,39615.26942999078
182,2017-03-01,40284.93445924359
183,2017-04-01,39393.43436631093
184,2017-05-01,37291.51871683284
185,2017-06-01,36823.33252350519
186,2017-07-01,37174.381334819154
