,Data,Values
164,2013-09-01,18590.349213633257
165,2013-10-01,22795.112319586264
166,2013-11-01,25796.32587557967
167,2013-12-01,36866.38863817315
168,2014-01-01,36199.91925294151
169,2014-02-01,27555.86940564237
170,2014-03-01,31767.55788980153
171,2014-04-01,34341.94903221687
172,2014-05-01,27767.633608830038
173,2014-06-01,26053.80466115967
174,2014-07-01,22471.63771585285
175,2014-08-01,18548.011484518218
176,2014-09-01,18042.9399573772
177,2014-10-01,17962.347651210617
178,2014-11-01,21169.74672921076
179,2014-12-01,32708.328835037362
180,2015-01-01,30942.627229063964
181,2015-02-01,33541.2456723416
182,2015-03-01,41850.28415801078
183,2015-04-01,39945.17220642785
184,2015-05-01,33487.810996090746
185,2015-06-01,26159.85104237207
186,2015-07-01,26615.61467896312
187,2015-08-01,21642.3812567884
188,2015-09-01,21044.293423333653
189,2015-10-01,22867.42886741867
190,2015-11-01,29911.852514292797
191,2015-12-01,40919.94414990672
192,2016-01-01,65625.3851041705
193,2016-02-01,64489.20270916111
194,2016-03-01,58528.049261968685
195,2016-04-01,42756.34695277443
196,2016-05-01,29515.368250250587
197,2016-06-01,31147.292370402043
198,2016-07-01,24151.142633855343
199,2016-08-01,20167.4528837905
200,2016-09-01,19466.591967026743
201,2016-10-01,20525.536970445366
202,2016-11-01,26587.169228257284
203,2016-12-01,35299.01124006008
204,2017-01-01,42909.95159112696
205,2017-02-01,47958.1457848114
206,2017-03-01,46483.26187519602
207,2017-04-01,40090.06743879946
208,2017-05-01,36841.75165300323
209,2017-06-01,33399.48080502756
210,2017-07-01,23787.959060063025
211,2017-08-01,18145.837608504757
212,2017-09-01,15495.564522638499
213,2017-10-01,17001.897905749825
214,2017-11-01,28570.253160337947
215,2017-12-01,42099.15723848363
216,2018-01-01,56809.244333087365
217,2018-02-01,58733.70073438334
218,2018-03-01,56262.16009360297
219,2018-04-01,48584.778782121626
220,2018-05-01,32882.6025495167
221,2018-06-01,23106.434489993182
222,2018-07-01,17525.451085064175
223,2018-08-01,16277.789840520381
224,2018-09-01,17492.805075230368
225,2018-10-01,24207.607652378596
226,2018-11-01,37025.724595780885
227,2018-12-01,45195.131402406834
228,2019-01-01,44269.21928339332
229,2019-02-01,44300.27748219389
230,2019-03-01,56031.745906534576
231,2019-04-01,53582.334462003004
232,2019-05-01,39838.54148946875
233,2019-06-01,30191.045073796904
234,2019-07-01,21981.77494088204
235,2019-08-01,16801.982897203496
236,2019-09-01,14969.369657505493
237,2019-10-01,15788.761938388423
238,2019-11-01,20795.58826482686
239,2019-12-01,35274.12564369252
240,2020-01-01,47776.132515065605
241,2020-02-01,64909.39052820268
242,2020-03-01,69758.07537169033
243,2020-04-01,52426.30749308374
244,2020-05-01,33389.707966612674
245,2020-06-01,22828.729071754147
246,2020-07-01,18401.28730775796
247,2020-08-01,16987.516336490487
248,2020-09-01,15431.896030244736
249,2020-10-01,15305.977157753572
250,2020-11-01,20166.068521162917
251,2020-12-01,29982.76962093168
252,2021-01-01,43286.941778286324
253,2021-02-01,51171.65978108381
254,2021-03-01,51903.47611800693
255,2021-04-01,40457.40987944204
256,2021-05-01,27710.168071694
257,2021-06-01,21803.44527338991
258,2021-07-01,17515.771622474636
259,2021-08-01,14937.028265587425
260,2021-09-01,14505.769412224618
261,2021-10-01,21819.93402279879
262,2021-11-01,30591.619517434858
263,2021-12-01,41050.452304716324
264,2022-01-01,61798.145840491714
265,2022-02-01,72708.27154716912
266,2022-03-01,58206.40606065244
267,2022-04-01,40777.53658196729
268,2022-05-01,26920.980812911606
269,2022-06-01,20646.84098679139
270,2022-07-01,17038.64592763618
271,2022-08-01,15840.351653625701
