,Data,Values
91,2007-08-01,2694.8417870235508
92,2007-09-01,2305.0232435187345
93,2007-10-01,2749.4910057891507
94,2007-11-01,2770.4031089168193
95,2007-12-01,2501.782217213408
96,2008-01-01,2015.6075727445964
97,2008-02-01,1828.1373103965989
98,2008-03-01,1561.7712856002718
99,2008-04-01,1540.2362417959057
100,2008-05-01,1547.591662951981
101,2008-06-01,1569.500343283979
102,2008-07-01,1695.3193429312441
103,2008-08-01,1592.113362495665
104,2008-09-01,2247.5992760737818
105,2008-10-01,1982.7851886535104
106,2008-11-01,2120.4770518219216
107,2008-12-01,2190.515420079493
108,2009-01-01,1679.8906284971195
109,2009-02-01,1615.7000491437973
110,2009-03-01,2017.7020545093524
111,2009-04-01,1842.9236437323698
112,2009-05-01,2086.5098882919187
113,2009-06-01,2376.557379027824
114,2009-07-01,1985.3595829858505
115,2009-08-01,2221.868854246945
116,2009-09-01,2049.921414028342
117,2009-10-01,2114.5972106576955
118,2009-11-01,2307.214564413124
119,2009-12-01,2029.915439864294
120,2010-01-01,2196.3299912193324
121,2010-02-01,2091.7616187663266
122,2010-03-01,2233.0266185280984
123,2010-04-01,2106.771778229906
124,2010-05-01,2103.87427766418
125,2010-06-01,1918.07951097611
126,2010-07-01,1657.45428400066
127,2010-08-01,1792.178364404526
128,2010-09-01,1783.337438787274
129,2010-10-01,1870.5325518591683
130,2010-11-01,2036.1349142636773
131,2010-12-01,1678.389804778702
132,2011-01-01,2213.821750952912
133,2011-02-01,1842.0882256169098
134,2011-03-01,2237.73251709751
135,2011-04-01,1950.833870753404
136,2011-05-01,2388.340280893045
137,2011-06-01,1670.8097388535289
138,2011-07-01,1944.152287020208
139,2011-08-01,1972.6615334598473
140,2011-09-01,2202.9165772124675
141,2011-10-01,2240.834452016396
142,2011-11-01,2448.115491040013
143,2011-12-01,1947.765375691641
144,2012-01-01,2196.007925836443
145,2012-02-01,2495.9424298090935
146,2012-03-01,2722.2648667314593
147,2012-04-01,2485.376347128264
148,2012-05-01,2295.3603907967326
149,2012-06-01,2632.738164305854
150,2012-07-01,2317.051041200355
151,2012-08-01,1945.135790080637
152,2012-09-01,2267.2090840173755
153,2012-10-01,2200.671997427569
154,2012-11-01,1834.575025978199
155,2012-12-01,1679.5088659222724
156,2013-01-01,2557.885666590715
157,2013-02-01,1908.342272803891
158,2013-03-01,1488.5595331381837
159,2013-04-01,1678.2406767323016
160,2013-05-01,1597.5644208912129
161,2013-06-01,1533.2857210249451
162,2013-07-01,1377.736359805509
163,2013-08-01,1558.8951351507558
164,2013-09-01,1456.0406994510492
165,2013-10-01,1435.6335687887617
166,2013-11-01,1503.7159113922442
167,2013-12-01,1371.0925772732967
168,2014-01-01,1333.4983422795415
169,2014-02-01,1282.32299139576
170,2014-03-01,1281.665253532169
171,2014-04-01,1278.5971605973464
172,2014-05-01,1274.8074203622305
173,2014-06-01,1242.9733914458452
174,2014-07-01,1243.0882315524984
175,2014-08-01,1236.7875494132243
176,2014-09-01,1229.4734590236437
177,2014-10-01,1222.782015359029
178,2014-11-01,1277.2253007336938
179,2014-12-01,1269.389390625208
180,2015-01-01,1284.7011751539483
