"","l","b","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"92",7.10804716108134,0.0025938411336671,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607,0.969882001105172,0.949093183091755,0.962698223162875,1.00559548539776,1.0321229406997,1.08899357134444
"93",7.10199905094156,0.00259065157377046,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607,0.969882001105172,0.949093183091755,0.962698223162875,1.00559548539776,1.0321229406997
"94",7.1006522334032,0.00258919833790082,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607,0.969882001105172,0.949093183091755,0.962698223162875,1.00559548539776
"95",7.12039575741321,0.00259552963363326,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607,0.969882001105172,0.949093183091755,0.962698223162875
"96",7.12216119647836,0.00259522326490888,0.962548865368134,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607,0.969882001105172,0.949093183091755
"97",7.15572171375438,0.00260665189449036,0.954584654120797,0.962548865368134,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607,0.969882001105172
"98",7.15434522627985,0.00260518180270297,0.969163533084802,0.954584654120797,0.962548865368134,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288,0.923065599093607
"99",7.1770644519794,0.00261260546730632,0.926519251356491,0.969163533084802,0.954584654120797,0.962548865368134,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938,0.962729222192288
"100",7.16808955585472,0.00260832876761078,0.960660683221978,0.926519251356491,0.969163533084802,0.954584654120797,0.962548865368134,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589,1.00400095569938
"101",7.1677232067163,0.00260723087744058,1.00344647388761,0.960660683221978,0.926519251356491,0.969163533084802,0.954584654120797,0.962548865368134,1.00882855493611,1.03136141555975,1.08723158299455,1.06402925307166,1.02067059376703,1.00728151236589
