"","l","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"79",30425.6794619592,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604,6527.14151616894,-7449.92210432597,-13786.4680910679,-16732.0738655812,-15834.2451989859,-11803.6394742131
"80",30905.0742949975,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604,6527.14151616894,-7449.92210432597,-13786.4680910679,-16732.0738655812,-15834.2451989859
"81",31801.1820678014,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604,6527.14151616894,-7449.92210432597,-13786.4680910679,-16732.0738655812
"82",33293.3763273044,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604,6527.14151616894,-7449.92210432597,-13786.4680910679
"83",36267.4646400288,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604,6527.14151616894,-7449.92210432597
"84",35417.9916572303,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604,6527.14151616894
"85",42209.6572410885,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053,20314.8988511604
"86",58376.1692943144,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104,21807.843532053
"87",62522.2915574987,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963,18990.5534753104
"88",44904.633618384,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031,7694.79939342963
"89",34759.4932262465,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828,-3336.00822467031
"90",32989.791981994,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153,-6392.55951413828
"91",31224.6383284001,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464,-11803.5524748153
"92",33089.3573205223,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829,-15834.0825755464
"93",33731.1836818526,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197,-16731.803065829
"94",31453.4682898903,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816,-13785.9283608197
"95",28874.238639998,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143,-7450.07626459816
"96",29700.1789161897,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093,6528.37405097143
"97",25627.0350352364,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462,20317.832710093
"98",20521.0427388562,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837,21808.5959601462
"99",30993.4696143027,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882,18987.3562659837
"100",37312.5003112412,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903,7692.95827824882
"101",40352.4118142868,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914,-3336.32938570903
"102",39320.2424898731,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889,-6392.8798498914
"103",36314.0437851972,-6393.42540745471,-3336.51670126494,7693.50995392804,18988.5030281669,21810.4964704748,20316.9060871418,6527.63486681596,-7449.92637498381,-13786.3964330868,-16732.2164200285,-15833.9660984735,-11803.2140701889
